Unique ID,Authors,Title of Presentation,Yr Presented,Title of the Work,Yr published,Venue/Publication,Type,Topics/Trends (L),Methodologies,Region (L),Locality,Link,Notes,Who?,Checked?,Zotero?
AbeEmi,Emily Abel,"Hot Teas, Hot Flannels, and a Great Deal of Care: American Women Caring
for Kin, 1850-1940",2000,"Hearts of Wisdom: American Women Caring for Kin, 1850-1940",2000,Harvard University Press,Book,Class;Disability;Gender;Governance;Healthcare;Labor;Market services;Race;Social care;Social practices,Historical analysis;Qualitative,United States,N/A,https://doi.org/10.2307/j.ctvjk2wkw,,,TRUE,FALSE
AbeEmi,Emily Abel,"Hot Teas, Hot Flannels, and a Great Deal of Care: American Women Caring for Kin,1850-1940",2000,"American Women Tending Sick and Disabled Children, 1850-1940",2002,Child Care & Inquality: Rethinking Carework for Children & Youth,Book chapter,Childcare;Class;Disability;Gender;Governance;Healthcare;Labor;Market services;Race;Social care;Social practices,Historical analysis;Qualitative,United States,N/A,,,,TRUE,FALSE
BouSal,Sally Bould,Families in Suburban Neighborhoods: Are There No Helping Networks?,2000,Caring Neighborhoods: Bringing up the kids together,2003,Journal of Family Issues,Journal article,Childcare;Citizenship;Class;Gender;Labor;Social care;Social practices,Interviews;Qualitative;Surveys;Theory,United States,Northeast;Mid-Atlantic,https://journals.sagepub.com/doi/pdf/10.1177/0192513X02250830?casa_token=KGlSC9OCF8QAAAAA:u9zAlc0iU4CtVLcm2evZ6xHdwHguNNGKbm3Ur9OZMpOX9lMoL9s7Agqai9xiE_4oaIICVBDG6FM,,,TRUE,TRUE
CanFra,Francesca Cancian,Conceptualizing ‘Good’ Childcare: Pitfalls and Possibilities,2000,What Are Norms? A Study of Beliefs and Action in a Maya Community,2009,Cambridge University Press,Book,Metrics;Race;Social care;Social practices;Theory,Ethnography;Qualitative,Latin America,"Zinacantan, Mexico",,,,TRUE,TRUE
CanFra,Francesca M. Cancian,Conceptualizing ‘Good’ Childcare: Pitfalls and Possibilities,2000,"Defining ""Good"" Child Care: Hegemonic and Democratic Standards",2002,Child Care & Inquality: Rethinking Carework for Children & Youth,Book chapter,Class;Metrics;Migration;Race;Social care;Social practices;Theory,N/A,N/A,N/A,,,,TRUE,FALSE
ChrKar,Karen Christopher,"Single Mothers, the Welfare State, and Poverty: A Cross-National Analysis",2000,"Caregiving, Welfare States, and Mothers' Poverty",2002,Child Care & Inquality: Rethinking Carework for Children & Youth,Book chapter,Class;Gender;Governance;Labor;Market services;Social care;Social practices;Theory,Literature review;Quantitative;Surveys,N/A,N/A,,,,TRUE,FALSE
ColSco,Scott Coltrane,"""Gendered Carework in Mexican American Families: Predicting Men’s Empathetic Parenting""",2000,"Fathering: Paradoxes, Contradictions, and Dilemmas",2004,"Handbook of Contemporary Families: Considering the Past, Contemplating the Future",Book chapter,Affect;Class;Gender;Metrics;Race;Social practices;Social care;Theory,Ethnography;Qualitative,United States,N/A,https://sk.sagepub.com/reference/hdbk_contempfamilies/n13.xml,,,TRUE,FALSE
DefJoa,JoAnn DeFiore,Comadres en el Barrio: The Cultural Practice of Co-Mothering in a Rural Paraguayan Neighborhood,2000,Comadres en el barrio: the cultural practice of co-mothering in a rural Paraguayan neighborhood,2002,Child Care & Inquality: Rethinking Carework for Children & Youth,Book chapter,Citizenship;Class;Gender;Labor;Market services;Social care;Social practices;Theory,Ethnography;Qualitative,Latin America,Paraguay,https://www.researchgate.net/publication/282293910_Comadres_en_el_barrio_the_cultural_practice_of_co-mothering_in_a_rural_Paraguayan_neighborhood,,,TRUE,FALSE
EngPau;FolNan,Paula England;Nancy Folbre,The Public Benefits and Private Costs of Caring Labor,2000,"Care, Inequality, and Policy",2002,Child Care & Inquality: Rethinking Carework for Children & Youth,Book chapter,Affect;Class;Gender;Governance;Labor;Market services;Social care;Social practices,Quantitative,N/A,N/A,,,,TRUE,FALSE
EriShe,Shelley Eriksen;Naomi Gerstel,"Adult Siblings and Carework: The Effect of Gender, Parenthood, and Employment",2000,A Labor of Love or Labor Itself: Care Work among Adult Brothers and Sisters,2002,Journal of Family Issues,Journal article,Class;Gender;Labor;Race;Social care;Social practices,Interviews;Qualitative;Quantitative;Surveys,N/A,N/A,https://doi.org/10.1177/019251302236597,,,TRUE,FALSE
FitHea,Heather FitzGibbon,Child Care Across Sectors: A Comparison of the Work of Child Care in Three Settings,2000,Child Care Across Sectors: A Comparison of the Work of Child Care in Three Settings,2002,Child Care & Inquality: Rethinking Carework for Children & Youth,Book chapter,Affect;Class;Governance;Labor;Market services;Social care;Social practices,N/A,N/A,N/A,,,,TRUE,FALSE
