Unique ID,Last Name,First Name,Title of the Presentation ,Year ,Summary,Topics (L),Region (L),Sub-region,Checked,,Notes
AbeEmi,Abel,Emily,"Hot Teas, Hot Flannels, and a Great Deal of Care: American Women Caring for Kin,1850-1940",2000,N/A,Class;Gender;Healthcare;Labor;Race;Social care;Social practices,United States,N/A,TRUE,,
BouSal,Bould,Sally,Families in Suburban Neighborhoods: Are There No Helping Networks?,2000,"The suburbs have been characterized as neighborhoods lacking in connectedness. This paper analyzes information from 296 suburban neighborhoods in the Northeastern and Mid-Atlantic States in order to identify those neighborhoods with extensive helping networks. This paper focuses on the nature of helping networks in these cohesive neighborhoods in terms of building a more connected family life
style.",Citizenship;Class;Gender;Labor;Social care;Social practices,United States,Northeast;Mid-Atlantic,TRUE,,
CanFra,Cancian,Francesca,Conceptualizing ‘Good’ Childcare: Pitfalls and Possibilities,2000,"A shared standard of good care is necessary, if caring is viewed as ""skilled"" work.
Existing standards of care used by experts and others usually reflect white middle
class values and life situations. In particular, responsive nuturance has become a
hegemonic standard that undermines standards of working class and many
immigrants and non-caucasian groups. An alternative standard of care is
suggested.",Class;Metrics;Migration;Race;Social care;Social practices;Theory,N/A,N/A,TRUE,,
ChrKar,Christopher,Karen,"Single Mothers, the Welfare State, and Poverty: A Cross-National Analysis",2000,"This paper combines theoretical arguments from the gender and the state literature
with methods from the cross-national literature on poverty. Using data from the
Luxembourg Income Study, this paper examines how welfare states based on
different assumptions regarding mothers' care work affect mothers' economic
outcomes in nine Western nations.",Class;Gender;Governance;Labor;Market services;Social care;Social practices;Theory,N/A,N/A,TRUE,,
ColSco;AdaMic,Coltrane;Adams,Scott;Michelle,"Gendered
Carework in Mexican American Families: Predicting Men’s Empathetic Parenting",2000,"Interviews and multivariate data analysis suggest two general patterns of men' s
involvement in Mexican-American working-class family life: paternalism and
egalitarianism. Fathers' empathetic and supportive care work is embedded in social
contexts and is inversely related to mothers', suggesting a compensatory rather than emulative model of couple parenting behavior.",Affect;Class;Gender;Metrics;Race;Social practices;Social care;Theory,United States,N/A,TRUE,,
DefJoa,DeFiore,JoAnn,Comadres en el Barrio: The Cultural Practice of Co-Mothering in a Rural Paraguayan Neighborhood,2000,"Two cultural practices that exist in Paraguayan culture serve to assist women in
managing their day to day lives: comprazgo or godparenting, and its companion,
comothering, a ritualized type of co-parenting. I examine the complexities of the two
systems illustrating how they serve to increase women's power locally.",Citizenship;Class;Gender;Labor;Market services;Social care;Social practices;Theory,Latin America,Paraguay,TRUE,,
DufMig,Duffy,Mignon,"The Destiny of Biology: An
Exploration of the Relationship Between Biological Reproduction and Parenting Care
Among Lesbian Couples",2000,"Duffy uses in-depth interviews with lesbian parents to explore the connection
between biological relationship and care relationship. The meanings of biology in
relationships with birth mothers, non-birth mothers, and male donors are examined,
focusing on the implications for care work obligations and privileges. Duffy argues
that these families are redefining the relationship between biology and care,
undermining the notion that “biology is destiny”",Gender;Labor;Queer;Social care;Social practices,N/A,N/A,TRUE,,
EngPau,England,Paula,The Public Benefits and Private Costs of Caring Labor,2000,"Caring labor that develops human capabilities has diffuse benefits to many
members of society. The theoretical analysis suggests that because of the limited
resources of those that most need care, and the fact that there is no way to make
all the indirect beneficiaries of caring labor pay the care worker, this work, when
paid at all, often has low pay. National data are used to show that, net of many
other variables, there is a wage penalty for doing caring labor.",Affect;Class;Gender;Governance;Labor;Market services;Social care;Social practices,N/A,N/A,TRUE,,
EriShe,Eriksen,Shelley,"Adult Siblings and Carework: The Effect of Gender, Parenthood, and Employment",2000,"Based on original data, this paper analyzes the effect of gender, parenthood and
employment on the amount and kind of help adults provide to siblings within and
across families. In so doing, it aims to resposition adult sibling relationships within
the broader context of care work and kin resources, and to assess the structural
constraints on such care that work and family often imposes.",Aging;Class;Gender;Labor;Race;Social care;Social practices,N/A,N/A,TRUE,,
FitHea,FitzGibbon,Heather,Child Care Across Sectors: A Comparison of the Work of Child Care in Three Settings,2000,"This paper compares child care work across three sectors of the industry--for-profit centers, non-profit centers, and family day care. Through interviews and participant observation, I examine the relationship between the structure of the child care operation and the nature of care provided.",Affect;Class;Governance;Labor;Market services;Social care;Social practices,N/A,N/A,TRUE,,
